Review,Bank Name,data_source,Bank ID,state,Review spanish,Sentiment_gen,Positive_gen,Negative_gen,Neutral_gen,Mixed_gen,Normalized_Sentiment_Score,ds,Predicted_SASB,SASB_num,Predicted_Pilar,Industry,Sentiment_Category,month,month_num,year,Pilar,Total_Count,Sentiment_Score
Good and quick service at the checkout counters.,Banco Security,maps,12.0,San Felipe,Buena y ágil atención en cajas.,POSITIVE,0.9994595646858216,4.021827771794051e-05,0.0004730800283141,2.7104810214950703e-05,99.96961046999786,2023-11-03,Social Capital,1,Social External,Banking,Poor,November,11,2023,Social External,344,99.96961046999786
"Terrible service here in Buin, they don't provide any help, they send you to search everything online when it clearly says to go to the office. But when you get there, they help you poorly on the street and then you leave irritated and more confused than when you arrived. It's a SHAME, poorly paid money and unfortunately, we pay taxes for public officials to exist and do their job well.",Banco Security,maps,12.0,Buin,"Pésima atención acá en buin , no prestan ninguna ayuda, te mandan a ver todo por Internet cuando se dice claramente que te dirijas a la oficina pero llegas allá  ,te atienden en la calle muy mal por cierto y al final te vas molesto y más complicado de lo que llegaste es una VERGUENZA LA PLATA MAL PAGADA y que lamentablemente pagamos impuestos para que los funcionarios públicos existan y hagan bien su pega",NEGATIVE,0.0002911720948759,0.9986817240715028,0.0003369221813045,0.0006901435554027,0.04596331855282,2023-07-17,Social Capital,1,Social External,Banking,Poor,July,7,2023,Social External,451,0.04596331855282
"Terrible customer service, everything is handled at the counters, terrible bank",Banco Security,maps,12.0,Buin,"Pésima atención al cliente, todo se atiende por cajas, pésimo banco",NEGATIVE,0.0001308505889028,0.9990500807762146,0.0001062046940205,0.0007128617726266,0.01839529359131,2024-02-16,Social Capital,1,Social External,Banking,Poor,February,2,2024,Social External,451,0.01839529359131
Good products,Banco Ripley,maps,10.0,San Fernando,Buenos productos,POSITIVE,0.9998206496238708,3.4903005143860355e-05,0.0001078651912393,3.661552182165906e-05,99.98745822194904,2024-05-10,Business Model and Innovation,3,Other,Banking,Poor,May,5,2024,Other,344,99.98745822194904
There is not any longer.,Banco Ripley,maps,10.0,Colina,No existe ya,NEGATIVE,0.0500831492245197,0.8756938576698303,0.0683906003832817,0.0058323657140135,8.42784494161605,2023-05-13,Other,5,Other,Banking,Poor,May,5,2023,Other,451,8.42784494161605
You can buy whatever you want at a fantastic low price.,Banco Ripley,maps,10.0,Los Andes,Podés comprar lo que quieras a bajo precio fantástico,POSITIVE,0.9942237734794616,0.0007893755100667,0.0048555182293057,0.0001313980756094,99.66515325941144,2024-04-09,Other,5,Other,Banking,Poor,April,4,2024,Other,344,99.66515325941144
Something normal to buy items. It is worth mentioning that it is falling far behind compared to other brands.,Banco Ripley,maps,10.0,Los Andes,algo normal para comprar artículos. cabe destacar que se esta quedando muy atrás a comparación de otras marcas,NEGATIVE,0.0420842915773391,0.8601643443107605,0.0564015358686447,0.0413499101996421,7.02850595116615,2024-01-30,Other,5,Social External,Banking,Poor,January,1,2024,Social External,451,7.02850595116615
"I don't know if this bank is competing with Banco Estado because the customer service is terrible, the waiting time for customers exceeds 1 hour with 5 people waiting. I do not recommend it at all.",Banco Ripley,facebook,10.0,Santiago,"no sé si este banco está compitiendo con banco estado porque la atención al cliente es pésima, el tiempo en atender personas supera 1 hora habiendo 5 personas en espera, no lo recomiendo por nada",NEGATIVE,6.954988930374384e-05,0.999309778213501,0.000597114150878,2.356182267249096e-05,0.03681069647427,2023-11-21,Social Capital,1,Environmental,Banking,Poor,November,11,2023,Environmental,451,0.03681069647427
"Slow, no one knows anything, the system does not allow them to see.... The bank is bad 🏦",Banco Ripley,maps,10.0,Lota,"Lentos, nadie sabe nada , el sistema no les permite ver.... Malo el banco 🏦",NEGATIVE,0.0006097118603065,0.9684274792671204,0.0306668225675821,0.0002960449783131,1.59431231440976,2023-07-26,Other,5,Other,Banking,Poor,July,7,2023,Other,451,1.59431231440976
"Upon entering the bank, there is a very unpleasant security guard who, in a disdainful manner, without greeting and with a scowl, did not want to let me go down to the cashier to pay even though I had cash. I am up to date with my accounts, I have purchased many items at Ripley, but these situations of mistreatment are exhausting. I come from Peñaflor because they don't even have a single office there. I will pay elsewhere so as not to see the face of this character. I cannot make transfers because I am unemployed and do not have a cell phone.",Banco Ripley,maps,10.0,Melipilla,"Entrando al banco hay un guardia muy desagradable que en forma despectiva, sin saludar y con mala cara no me quería dejar bajar a las cajas a pagar siendo que yo tenía efectivo, estoy al día con mis cuentas, he comprado muchos artículos en Ripley pero estás situaciones de maltrato agotan, vengo de Peñaflor por qué allá no tienen ni una misera oficina, pagaré en otro lado para no verle la cara a este personaje, no puedo hacer transferencias por qué estoy sin trabajo ni celular",NEGATIVE,0.017902173101902,0.9528923034667968,0.0244746953248977,0.0047309515066444,3.01395207643508,2023-11-15,Leadership and Governance,4,Governance,Banking,Poor,November,11,2023,Governance,451,3.01395207643508
"There is no exact translation for ""Xd"" as it is an emoticon commonly used in Spanish-speaking countries that represents a laughing face. It is similar to ""XD"" in English.",Banco Ripley,maps,10.0,Los Andes,Xd,NEGATIVE,0.1341642886400222,0.6575259566307068,0.2044009417295456,0.003908856306225,23.6364759504795,2024-03-30,Other,5,Other,Banking,Poor,March,3,2024,Other,451,23.6364759504795
Terrible attention.,Banco Ripley,maps,10.0,San Fernando,Pésima atención.,NEGATIVE,0.0002187808568123,0.9992066025733948,0.000567905313801,6.669706635875627e-06,0.05027335137128,2024-05-04,Other,5,Other,Banking,Poor,May,5,2024,Other,451,0.05027335137128
"Horrible, more than a month ago I bought a product online, it came defective. Two days later, when I went to exchange it, they denied it because it had to go to technical service. From that moment on, it was supposed to take 15 business days for my product to be ready, and it's been over a month without any response. No one takes responsibility, they don't give me any information, and we have already passed the estimated date. I gave them more time and still no one gives me a solution. The product costs almost 800 thousand pesos, and I'm paying installments for something I don't have. Sernac informed me that they violated many things, so the complaint stands. Truly horrible.",Banco Ripley,maps,10.0,Los Andes,"Horrible, hace mas de un mes compre un producto por la web, venia defectuoso, a los 2 dias fui hacer el cambio lo cual me lo negaron por que tenia que irse a servicio tecnico, desde ese momento eran 15 días hábiles para que estuviera mi producto listo y llevo más de un mes sin ninguna respuesta, nadie se hace cargo, no me dan información y ya pasamos la fecha estimada, les di más tiempo y aun nadie me da una solución, el producto llega casi a los 800 mil pesos y estoy pagando las cuotas de algo que no tengo. Sernac me informó que incumplieron muchas cosas, así que la denuncia quedó. De verdad horrible.",NEGATIVE,0.0008724515209905,0.9987702965736388,0.0001606646837899,0.0001965181145351,0.09527838628855,2023-10-14,Social Capital,1,Social External,Banking,Poor,October,10,2023,Social External,451,0.09527838628855
Excellent service and fast.,Banco Ripley,maps,10.0,Santiago,Exelente atencion .y rapido,POSITIVE,0.9998056292533876,2.265320290462114e-05,0.0001429022813681,2.878879604395479e-05,99.98770803940717,2024-02-27,Social Capital,1,Social External,Banking,Poor,February,2,2024,Social External,344,99.98770803940717
Terrible service.,Banco Ripley,maps,10.0,Temuco,Pésima atención,NEGATIVE,7.257971446961164e-05,0.9997764229774476,0.0001331222738372,1.791228714864701e-05,0.01391408513882,2024-04-03,Social Capital,1,Social External,Banking,Poor,April,4,2024,Social External,451,0.01391408513882
The prices on bedding are excellent! Buy one quilt and get one free - Buy three sheets and get one free for example. The price difference on laptops is over 50% compared to Argentina.,Banco Ripley,maps,10.0,Los Andes,"Los precios en ropa de cama excelentes! 2x1 en acolchados- 3x1 en sábanas por ejm.
La diferencia en los precios de notebook supera el 50% vs Argentina.",POSITIVE,0.9974991679191588,0.0002433624467812,0.0021405878942459,0.0001168491216958,99.8569461866282,2024-04-02,Other,5,Other,Banking,Poor,April,4,2024,Other,344,99.8569461866282
It is impossible to communicate by telephone.,Banco Ripley,maps,10.0,Melipilla,Imposible comunicarse por vía telefónica,NEGATIVE,0.0010167745640501,0.9985472559928894,0.0004178674134891,1.808786328183487e-05,0.12257082707947,2023-10-17,Other,5,Other,Banking,Poor,October,10,2023,Other,451,0.12257082707947
"Good day dear
I wanted to make a complaint because yesterday I bought a pair of sneakers at Ripley de los Andes, they gave me another box that was not the one I wanted and its value is also not the correct one, these are more expensive, and with just one sneaker.
I am from Mendoza and I am already in my province.
I need to see how we can resolve this issue.
Attached purchase receipt.
I already appreciate your understanding and hope you can resolve this issue.",Banco Ripley,maps,10.0,Los Andes,"Buen día estimados
Quería hacer un reclamo porque ayer compre un par de zapatillas en ripley de los Andes, me dieron otra caja que no era la  que quería y su valor tampoco es el que salía, estas son más caras, y con solo una zapatilla
Yo soy de Mendoza y ya estoy en mi provincia
Necesito ver como podemos resolver este inconveniente
Adjunto ticket de compra
Desde ya agradezco comprendan y puedan solucionar este inconveniente.",MIXED,0.1167929321527481,0.395292192697525,0.021646648645401,0.4662682712078094,12.76162564754486,2024-05-15,Other,5,Other,Banking,Poor,May,5,2024,Other,67,12.76162564754486
"Disgusting attention at this place, bancoripley not being fair, letting people go ahead of someone who has already been waiting for 2 hours, nefarious and disgusting.",Banco Ripley,maps,10.0,San Fernando,"Asquerosa la atención de este lugar, bancoripley no siendo bien, haciendo pasar gente antes que una persona que lleva ya 2 hrs esperando nefasto y asqueroso",NEGATIVE,9.706073615234344e-05,0.9986949563026428,0.0011954003712162,1.2670924661506431e-05,0.06947609217604,2023-07-08,Other,5,Other,Banking,Poor,July,7,2023,Other,451,0.06947609217604
"Beautiful place, lots of nature amidst modernity.",Banco Ripley,maps,10.0,Santiago,"Hermoso, lugar, mucha naturaleza entre la modernidad",POSITIVE,0.9971243739128112,0.0001024731318466,0.0026395551394671,0.0001335455599473,99.84441514825448,2024-01-20,Other,5,Other,Banking,Poor,January,1,2024,Other,344,99.84441514825448
Very bad attention. It has changed a lot in the past few years. There is a lot of disparity between what is shown on the website and the actual location.,Banco Ripley,maps,10.0,Los Andes,Muy mala atención. Ha cambiado mucho desde hace unos años. Mucha disparidad ente lo que figura en la página y el local.,NEGATIVE,0.0012216676259413,0.9582127928733826,0.0394159108400344,0.0011495751095935,2.09296230459585,2024-02-07,Other,5,Other,Banking,Poor,February,2,2024,Other,451,2.09296230459585
Products at a good price,Banco Ripley,maps,10.0,Los Andes,Productos a bien precio,POSITIVE,0.9997815489768982,5.80311861995142e-05,0.0001253975788131,3.507287692627869e-05,99.98442477663048,2024-06-09,Business Model and Innovation,3,Other,Banking,Poor,June,6,2024,Other,344,99.98442477663048
"Excellent place to shop, fast and efficient!!!!",Banco Ripley,maps,10.0,Los Andes,"Excelente lugar para comprar,  rápido y expedito!!!!",POSITIVE,0.9997376799583436,2.353958552703261e-05,0.0002033992786891,3.537243901519105e-05,99.9839379597688,2024-05-29,Other,5,Other,Banking,Poor,May,5,2024,Other,344,99.9839379597688
"There is never anyone and on the Internet there is a schedule, and when you arrive during the mentioned hours on the Internet, they say they are not serving customers. And if you ask at the service counter, nobody knows anything, terrible service, Falabella Bank awaits us.",Banco Ripley,maps,10.0,Puerto Montt,"Nunca hay nadie y en Internet sale un horario y cuando uno se acerca dentro del horario mencionado en Internet dicen que no están atendiendo. Y si uno pregunta en el mesón de atención nadie sabe nada, pésimo servicio, banco falabella nos espera",NEGATIVE,0.001380824134685,0.9921476244926452,0.0060344110243022,0.000437190697994,0.43980296468362,2024-02-05,Social Capital,1,Social External,Banking,Poor,February,2,2024,Social External,451,0.43980296468362
"Very good prices at the moment, for us.",Banco Ripley,maps,10.0,Los Andes,"Muy buenos precios en estos momentos, para nosotros.",POSITIVE,0.9996944665908812,6.950099486857653e-05,0.0002106707252096,2.5393024770892225e-05,99.97998019534862,2024-03-02,Other,5,Other,Banking,Poor,March,3,2024,Other,344,99.97998019534862
The contact numbers published are not valid.,Banco Ripley,maps,10.0,Concepción,Los números de contacto publicados no son válido,NEGATIVE,9.246735135093331e-05,0.9896940588951112,0.0101870335638523,2.6418820198159665e-05,0.5185984133277,2024-06-24,Other,5,Other,Banking,Poor,June,6,2024,Other,451,0.5185984133277
There is no 😡,Banco Ripley,maps,10.0,Talcahuano,No existe 😡,NEGATIVE,0.0071627562865614,0.7421074509620667,0.2470718622207641,0.0036579903680831,13.069868739694352,2023-09-07,Other,5,Other,Banking,Poor,September,9,2023,Other,451,13.069868739694352
"Some sectors don't have sufficient personal assistance, such as sports clothing. Especially in sectors that are locked. The service is very good. And also a very good price-quality relationship.",Banco Ripley,maps,10.0,Los Andes,"Algunos sectores no tienen suficiente asistencia personal, como ropa deportiva. Sobre todo en sectores con llave.  La atención es muy buena. Y también muy buena relación precio-calidad.",POSITIVE,0.7312838435173035,0.0016634911298751,0.003601889591664,0.2634508311748504,73.30847883131355,2023-09-22,Human Capital,2,Social External,Banking,Poor,September,9,2023,Social External,344,73.30847883131355
They open very late.,Banco Ripley,maps,10.0,Villarrica,Abren muy tarde,NEGATIVE,0.0001391094410791,0.9989491105079652,0.0008886705036275,2.315839083166793e-05,0.05834446928929,2024-03-04,Other,5,Other,Banking,Poor,March,3,2024,Other,451,0.05834446928929
Good attention,Banco Ripley,maps,10.0,Santiago,Buena atención,POSITIVE,0.9989336133003236,0.000164378536283,0.0008828527061268,1.921786133607384e-05,99.93750396533868,2023-12-28,Other,5,Other,Banking,Poor,December,12,2023,Other,344,99.93750396533868
"There is never anyone, and online, a schedule appears, and when one approaches within the mentioned schedule, it says they are not serving. And if one asks at the help desk, no one knows anything, terrible service, Falabella Bank awaits us.",Banco Ripley,maps,10.0,Puerto Montt,"Nunca hay nadie y en Internet sale un horario y cuando uno se acerca dentro del horario mencionado en Internet dicen que no están atendiendo. Y si uno pregunta en el mesón de atención nadie sabe nada, pésimo servicio, banco falabella nos espera",NEGATIVE,0.0160338971763849,0.9075560569763184,0.0637186169624328,0.0126915033906698,4.78932056576013,2024-02-05,Social Capital,1,Social External,Banking,Poor,February,2,2024,Social External,451,4.78932056576013
"The attention of some employees seemed unpleasant to me, with no enthusiasm. The products and the environment are good.",Banco Ripley,maps,10.0,Los Andes,"La atención de algunos empleados me pareció poco agradable, con desgano.
Los productos y el ambiente son buenos",MIXED,0.0281648095697164,0.0528503581881523,0.0062286364845931,0.9127561450004578,3.1279127812013003,2024-05-19,Business Model and Innovation,3,Social Internal,Banking,Poor,May,5,2024,Social Internal,67,3.1279127812013003
Fast and accurate,Banco Ripley,maps,10.0,Santiago,Rápido y certero,POSITIVE,0.9992088675498962,2.6098427042597905e-05,0.000750996696297,1.4112477401795331e-05,99.95843658980448,2023-07-18,Other,5,Other,Banking,Poor,July,7,2023,Other,344,99.95843658980448
Good variety and comfortable for shopping...,Banco Ripley,maps,10.0,Los Andes,Buena variedad y cómodo para comprar...,POSITIVE,0.9997753500938416,2.414850314380601e-05,0.0001615657965885,3.884907710016705e-05,99.98561329921358,2024-04-03,Other,5,Other,Banking,Poor,April,4,2024,Other,344,99.98561329921358
"THE OPENING HOURS ARE CONTINUOUS, BUT THEY ARE CLOSED",Banco Ripley,maps,10.0,Melipilla,"EL HORARIO DE ATENCIÓN CONTINUADO, PERO TIENEN CERRADO",MIXED,0.0059138569049537,0.0084583163261413,0.0015239401254802,0.9841039180755616,0.66758269676938,2024-02-27,Other,5,Other,Banking,Poor,February,2,2024,Other,67,0.66758269676938
Very good recommended price.,Banco Ripley,maps,10.0,Los Andes,Muuuy buen precio recomendado,POSITIVE,0.9997947812080384,4.232048740959726e-05,0.0001492604933446,1.3620651770906989e-05,99.98694114547106,2024-04-25,Other,5,Environmental,Banking,Poor,April,4,2024,Environmental,344,99.98694114547106
"Slowly, no one knows anything, the system does not allow them to see.... The bank is bad 🏦",Banco Ripley,maps,10.0,Concepción,"Lentos, nadie sabe nada , el sistema no les permite ver.... Malo el banco 🏦",NEGATIVE,0.000775440770667,0.9567899703979492,0.0419321916997432,0.0005023413687013,2.17415366205386,2023-07-26,Other,5,Other,Banking,Poor,July,7,2023,Other,451,2.17415366205386
"Terrible service from guard Francisco Arevalo, when asked if the ATM was available he didn't respond appropriately at any time. When I walked away from the area, the individual opened the bank doors to access the ATM. Terrible service and attitude from an unprepared guard, who doesn't even know how to respond like a decent person. On Monday, I will file a formal complaint at the branch.",Banco BICE,maps,1.0,Santiago,"Pesima atención del guardia Francisco Arevalo, se le preguntó si estaba disponible el cajero y en ningún momento respondió como corresponde. Cuando me alejé del lugar el sujeto abre las puertas del banco para poder ingresar al cajero. Pesima atención y actitud de una guardia sin preparación para atención, ni siquiera sabe responder como la gente.
El lunes dejare una reclamo formal en la sucursal.",NEGATIVE,6.831718201283365e-05,0.9989251494407654,0.0010001846821978,6.247879355214536e-06,0.05684095231117,2024-05-10,Social Capital,1,Social External,Banking,Poor,May,5,2024,Social External,451,0.05684095231117
"Web platform always with problems, unstable, slow, unavailable, cumbersome, and not user-friendly. Terrible bank.",Banco BICE,maps,1.0,Santiago,"Platarforma web siempre con problemas, inestable, lenta, no disponible, engorrosa y poco amigable. Banco penca.",NEGATIVE,8.670416718814522e-05,0.9988977909088136,0.0009965175995603,1.898962727864273e-05,0.05849629669683,2024-04-05,Other,5,Other,Banking,Poor,April,4,2024,Other,451,0.05849629669683
"Web platform always with problems, unstable, slow, unavailable, cumbersome, and unfriendly. Awful bank.",Banco BICE,maps,1.0,Peñaflor,"Platarforma web siempre con problemas, inestable, lenta, no disponible, engorrosa y poco amigable. Banco penca.",NEGATIVE,9.250539005734026e-05,0.9983025789260864,0.0015425676247105,6.233184831216931e-05,0.0863789202412499,2024-04-05,Other,5,Other,Banking,Poor,April,4,2024,Other,451,0.0863789202412499
"At least the Jardín del Este branch is very comfortable, with few people and several parking spaces, which is not the norm in other branches.",Banco BICE,maps,1.0,Santiago,"Al menos la sucursal de Jardín del Este ,es muy cómoda,poca afluencia de público y varios estacionamientos,que no es la tónica en otras sucursales.",POSITIVE,0.6646344661712646,0.0095992730930447,0.0643965601921081,0.2613697648048401,69.68327462673187,2023-10-24,Other,5,Other,Banking,Poor,October,10,2023,Other,344,69.68327462673187
"Try to open an account with this Bank as they have safety deposit boxes in modern facilities. Unfortunately, among the problems on their website, useless executives, bad phone service, they say they will contact you and never do, I even left a complaint thinking they would contact me there and nothing. In the end, the experience was so bad that I decided not to open the account with them. It would only lead to bad times. Especially that branch where they clearly have no idea about anything. Zero supervision of the employees. Small and bad bank, I don't understand how they continue with clients when there are so many more banks available with better customer service.",Banco BICE,maps,1.0,Colina,"Trate de abrir una cuenta con este Banco ya que tienen cajas de seguridad en instalaciones modernas. Lamentablemente entre los problemas de la paginas, ejecutivos inútiles, servicio por teléfono malo, dicen que te van a contactar y nunca lo hacen, hasta deje un reclamo pensando que ahí me contactarían y nada. Al final fue tan mala la experiencia que decidí mejor ni abrir la cuenta con ellos. Solo seria pasar malos ratos. En especial esa sucursal en cual claramente no tienen idea de nada. Cero supervision a los empleados. Banco chico y malo, no entiendo como siguen con clientes cuando hay tantos mas bancos disponibles con mejor servicio al cliente.",NEGATIVE,0.0003620791831053,0.9985650181770324,0.0009882097365334,8.470128523185849e-05,0.08561840513721,2023-10-12,Human Capital,2,Social Internal,Banking,Poor,October,10,2023,Social Internal,451,0.08561840513721
"You arrive at 9 am to do a paperwork, there are 5 workers and no one attends you. Among 5, only 1 person can be attended at a time. It's hard to believe that someone gets paid to manage this branch.",Banco BICE,maps,1.0,Santiago,"Llegas 9 am a hacer un tramite, hay 5 trabajadores y nadie te atiende. Entre 5 solo pueden atender 1 persona a la vez. Pensar que a alguien le pagan por gestionar esta sucursal",NEGATIVE,0.0068751075305044,0.9290269613265992,0.0634658560156822,0.0006321555702015,3.86080355383455,2023-11-20,Other,5,Other,Banking,Poor,November,11,2023,Other,451,3.86080355383455
"Does not comply with what was offered, nor does it respond to the requirements within the established deadline.",Banco BICE,facebook,1.0,Santiago,"No cumple con lo ofrecido, ni da respuesta a los requerimientos en el plazo establecido ..",NEGATIVE,0.0001254144008271,0.9961561560630798,0.0036787157878279,3.968334203818813e-05,0.19647722947411,2024-04-24,Other,5,Other,Banking,Poor,April,4,2024,Other,451,0.19647722947411
"They are not serving customers, it shows as ""open"" but they are remodeling everything.",Banco BICE,maps,1.0,Colina,"No están atendiendo, aparece como ""abierto"" pero están remodelando todo.",NEGATIVE,0.0626575946807861,0.6513876914978027,0.0891029387712478,0.196851760149002,10.720906406641,2024-02-29,Other,5,Social External,Banking,Poor,February,2,2024,Social External,451,10.720906406641
"""It's not open, don't come. It says it's open but it is currently under maintenance.""",Banco BICE,maps,1.0,Santiago,No está abierto no vengan dice estar abierto pero se encuentra actualmente en mantenimiento,NEGATIVE,0.0036050584167242,0.8298991918563843,0.1580110639333725,0.0084846019744873,8.26105903834104,2024-04-12,Other,5,Other,Banking,Poor,April,4,2024,Other,451,8.26105903834104
"The BICE bank is very well located, the facilities are top-notch, and the service is friendly and very professional.",Banco BICE,maps,1.0,San Antonio,"el banco BICE está muy bien ubicado, las instalaciones son de primer nivel y la atención es cordial y muy profesional.",POSITIVE,0.9986328482627868,2.254572609672323e-05,0.0012941539753228,5.050390973337926e-05,99.92799252504484,2024-01-30,Social Capital,1,Social External,Banking,Poor,January,1,2024,Social External,344,99.92799252504484
Excellent service,Banco BICE,maps,1.0,Valdivia,Excelente servicio,POSITIVE,0.999840497970581,3.130603727186099e-05,0.0001056143591995,2.2555839677806944e-05,99.98933051501808,2024-01-10,Social Capital,1,Social External,Banking,Poor,January,1,2024,Social External,344,99.98933051501808
"Today I went to the main office to pick up a credit card. 4 workstations, 2 attending to customers and the other two with staff sitting in front of the computer but not attending. This is without considering the small social gathering that took place with the operations manager. In total, I waited for 25 minutes... I would understand this at Banco Estado or Santander. But not here.",Banco BICE,maps,1.0,Santiago,Hoy fui a casa central a retirar una tarjeta de credito. 4 puestos de trabajo 2 atentiendo los otros dos con personal  sentado frente al computador pero sin atender. Esto sin considerar la pequena reunion social que hubo con el jefe de operaciones En total fueron 25 minutos.... de espera. Lo entenderia en el Banco Estado o Santander. Pero aqui no.,NEGATIVE,0.0049556652083992,0.8456994891166687,0.1492049545049667,0.0001399459433741,7.955814246088259,2023-11-28,Human Capital,2,Social Internal,Banking,Poor,November,11,2023,Social Internal,451,7.955814246088259
"Web platform always with problems, unstable, slow, unavailable, cumbersome, and user-unfriendly. Terrible bank.",Banco BICE,maps,1.0,Colina,"Platarforma web siempre con problemas, inestable, lenta, no disponible, engorrosa y poco amigable. Banco penca.",NEGATIVE,0.0001125027192756,0.9984142780303956,0.0014466521097347,2.6589726985548623e-05,0.0835828774143,2024-04-05,Other,5,Other,Banking,Poor,April,4,2024,Other,451,0.0835828774143
Free withdrawals on a foreign card 24/7,Banco BICE,maps,1.0,Valparaíso,Free withdrawals on a foreign card 24/7,NEUTRAL,0.0549985878169536,0.0044893226586282,0.9404762387275696,3.5860295611200854e-05,52.523670718073845,2023-10-14,Other,5,Other,Banking,Poor,October,10,2023,Other,138,52.523670718073845
Excellent service and speed,Banco BICE,maps,1.0,Concepción,Excelente atención y rapidez,POSITIVE,0.9998119473457336,2.4171093173208646e-05,0.0001392509875586,2.46476356551284e-05,99.9881572839513,2023-11-21,Social Capital,1,Social External,Banking,Poor,November,11,2023,Social External,344,99.9881572839513
"Try to open an account with this bank because they have safety deposit boxes in modern facilities. Unfortunately, among the problems are their websites, useless executives, poor phone service, they say they will contact you and never do, I even filed a complaint thinking they would contact me, but nothing. In the end, the experience was so bad that I decided not to open the account with them. It would only mean facing bad times. Especially that branch where they clearly have no idea about anything. Zero supervision of employees. Small and bad bank, I don't understand how they still have clients when there are many more banks available with better customer service.",Banco BICE,maps,1.0,Peñaflor,"Trate de abrir una cuenta con este Banco ya que tienen cajas de seguridad en instalaciones modernas. Lamentablemente entre los problemas de la paginas, ejecutivos inútiles, servicio por teléfono malo, dicen que te van a contactar y nunca lo hacen, hasta deje un reclamo pensando que ahí me contactarían y nada. Al final fue tan mala la experiencia que decidí mejor ni abrir la cuenta con ellos. Solo seria pasar malos ratos. En especial esa sucursal en cual claramente no tienen idea de nada. Cero supervision a los empleados. Banco chico y malo, no entiendo como siguen con clientes cuando hay tantos mas bancos disponibles con mejor servicio al cliente.",NEGATIVE,0.0004506132972892,0.9979090690612792,0.0015239167260006,0.0001164777131634,0.12125716602895,2023-10-12,Human Capital,2,Social Internal,Banking,Poor,October,10,2023,Social Internal,451,0.12125716602895
"Terrible digital service, the applications have many errors and limitations. The bank itself seems unprofessional, like empty, without people in general, it does not deliver an image of trust, employees without appropriate attire for a bank, strange way of speaking from the call center. I don't know, it seems like an amateur bank.",Banco BICE,maps,1.0,Quilpué,"Pésimo servicio digital, las aplicaciones tienen muchos errores y limitaciones. El banco en sí parece poco serio, como vacío, sin gente por lo general, no entrega una imagen de confianza, empleados sin bestimentas adecuadas a un banco, forma de hablar extraña desde el call center. No sé, parece un banco amateur.",NEGATIVE,4.159021773375571e-05,0.9993840456008912,0.0005305284284986,4.380131213110872e-05,0.0306854431983,2023-11-24,Social Capital,1,Social Internal,Banking,Poor,November,11,2023,Social Internal,451,0.0306854431983
"I'm leaving one star, because I called the branch to inquire about loans and the lady who assisted me didn't even give me her name. While she was helping me, she started talking to someone else about personal things (something about a family member who went to drop something off for her) and then suddenly hung up on me without saying goodbye... total lack of respect and just plain rudeness. What kind of people do they have working there?",Banco BICE,maps,1.0,Coronel,"Dejo una estrella, porque llamé a la sucursal para consultar sobre los créditos y la tipa que me atendió que ni siquiera me dio su nombre. Mientras me atendía empezó a hablar con otra persona de cosas personales (algo de su familia que le fue a dejar algo) y me colgó de la nada sin despedirse... falta de respeto y ordinaries total. Que tipo de gente tienen trabajando?",NEGATIVE,0.0005228096852079,0.9902408123016356,0.0089768376201391,0.0002596006088424,0.50112284952774,2023-09-22,Other,5,Other,Banking,Poor,September,9,2023,Other,451,0.50112284952774
"You arrive at 9 am to do a procedure, there are 5 workers and no one serves you. Out of 5, only 1 person can serve at a time. Thinking that someone is paid to manage this branch.",Banco BICE,maps,1.0,Colina,"Llegas 9 am a hacer un tramite, hay 5 trabajadores y nadie te atiende. Entre 5 solo pueden atender 1 persona a la vez. Pensar que a alguien le pagan por gestionar esta sucursal",NEGATIVE,0.0039565837942063,0.916847288608551,0.0775415226817131,0.0016546801198273,4.27273451350629,2023-11-20,Other,5,Other,Banking,Poor,November,11,2023,Other,451,4.27273451350629
Always slow,Banco BICE,maps,1.0,Coronel,Siempre lento,NEGATIVE,0.0038843830116093,0.9578583240509032,0.0380998440086841,0.0001575153000885,2.29343050159513,2024-02-14,Other,5,Other,Banking,Poor,February,2,2024,Other,451,2.29343050159513
Excellent customer service and speed,Banco BICE,maps,1.0,Coronel,Excelente atención y rapidez,POSITIVE,0.999796450138092,2.523208422644529e-05,0.0001558657822897,2.2409351004171185e-05,99.98743830292368,2023-11-21,Social Capital,1,Social External,Banking,Poor,November,11,2023,Social External,344,99.98743830292368
"The worst experience of my life buying dollars, 1 and a half hours to withdraw only 600 dollars, I had to go speak to the supervisor otherwise nothing would progress and the employees don't care much, it's better to go to the city center to buy dollars, it's a bit more expensive but you avoid the bad moment.",Banco BICE,maps,1.0,Peñaflor,"La peor experiencia de mi vida comprando dólares, 1 hr y media para retirar apenas 600 dólares, tuve que ir a hablar con el supervisor sino nada avanzaba y a los empleados poco les importa, mejor ir al centro a comprar dólares, sale un poco más caro pero evitas el mal rato.",NEGATIVE,0.0008389702416025,0.9951918125152588,0.0010892685968428,0.0028798901475965,0.13836045400239,2024-01-23,Other,5,Social Internal,Banking,Poor,January,1,2024,Social Internal,451,0.13836045400239
Excellent service and speed,Banco BICE,maps,1.0,Arauco,Excelente atención y rapidez,POSITIVE,0.9998119473457336,2.4171093173208646e-05,0.0001392509875586,2.46476356551284e-05,99.9881572839513,2023-11-21,Social Capital,1,Social External,Banking,Poor,November,11,2023,Social External,344,99.9881572839513
